id,English name,Korean name
1,Gimbap,김밥
2,Pork cutlet,돈까스
3,Chicken cutlet,치킨까스
4,Grilled Marinated Beef,불고기
5,Topokki,떡볶이
6,Fork Back-Bone Stew,갈비탕
8,Spicy Fish Soup,매운탕
9,Ginseng Chicken Soup,삼계탕
11,Bibim bap,비빔밥
12,Grilled Pork Belly,삼겹살
13,Ganjang Gejang,간장게장
14,Yangnyeom-gejang,양념게장
15,Hot Stone Pot Bibimbap,돌솥비빔밥
18,Spicy Stir-fried Squid with Rice,오징어덮밥
19,Spicy Stir-fried Octopus with Rice,낙지덮밥
20,Kimchi Fried Rice,김치볶음밥
21,Scorched Rice,누룽지
22,Riceballs,주먹밥
23,Bulgogi with Rice,불고기덮밥
24,Pork and Rice Soup,돼지국밥
25,Beef and Rice Soup,소고기국밥
26,Korean Sausage and Rice Soup,순대국밥
27,Bean Sprout and Rice Soup,콩나물국밥
28,Napa Cabbage and Rice Soup,우거지사골국밥
29,Leaf Wraps and Rice,쌈밥
30,Spicy Stir-fried Pork with Rice,제육덮밥
31,Freshwater Snail Soybean Paste Bibimbap,우럭된장비빔밥
32,Beef Tartare Bibimbap,육회비빔밥
33,Raw Fish Bibimbap,회덮밥
34,Stir-fried Glass Noodles and Vegetables with Rice,잡채덮밥
35,Ginseng and Chicken Rice Porridge,삼계죽
36,Pine Nut Porridge,잣죽
37,Black Sesame Porridge,흑임자죽
38,Red Bean Porridge,팥죽
39,Abalone Rice Porridge,전복죽
40,Vegetable Rice Porridge,야채죽
41,Pumpkin Porridge,호박죽
42,Banquet Noodles,잔치국수
43,Spicy Noodles,비빔국수
44,Cold Buckwheat Noodles,물냉면
45,Spicy Buckwheat Noodles,비빔냉면
46,Cold Buckwheat Noodles with Raw Fish,회냉면
47,Noodle Soup,칼국수
48,Noodle Soup with Clams,바지락칼국수
49,Hand-pulled Dough Soup,수제비
50,Buckwheat Noodles,막국수
51,Jumbo Sized Buckwheat Noodles,쟁반국수
52,Noodles in Cold Soybean Soup,콩국수
53,Dumplings,만두
54,Soybean Paste Soup,된장국
55,Seaweed Soup,미역국
56,Bean Sprout Soup,콩나물국
57,Hangover Soup,해장국
58,Dried Pollack Soup,북어국
59,Chilled Cucumber Soup,오이냉국
60,Sliced Rice Cake Soup,떡국
61,Dumpling Soup,만두국
62,Sliced Rice Cake and Dumpling Soup,떡만두국
63,Short Rib Soup,갈비탕
64,Cabbage and Short Rib Soup,우거지갈비탕
65,Beef Bone Soup,곰탕
66,Ox Bone Soup,설렁탕
67,Ox Knee Soup,도가니탕
68,Spicy Beef Soup,육개장
69,Codfish Soup,대구맑은탕
70,Spicy Codfish Stew,대구매운탕
71,Puffer Fish Soup,복맑은탕
72,Spicy Puffer Fish Soup,복매운탕
73,Spicy Seafood Stew,해물탕
74,Spicy Blue Crab Stew,꽃게탕
75,Spicy Fish Roe Soup,알탕
76,Mussel Soup,홍합탕
77,Loach Soup,추어탕
78,Kimchi Stew,김치찌개
79,Soybean Paste Stew,된장찌개
80,Sausage Stew,부대찌개
81,Pollack Stew,동태찌개
82,Soft Tofu Stew,순두부찌개
83,Rich Soybean Paste Stew,청국장
84,Royal Hot Pot,신선로
85,Beef Tripe Hot Pot,곱창전골
86,Noodle Hot Pot,국수전골
87,Kimchi Hot Pot,김치전골
88,Tofu Hot Pot,두부전골
89,Dumpling Hot Pot,만두전골
90,Mushroom Hot Pot,버섯전골
91,Beef Hot Pot,소고기전골
92,Bulgogi and Octopus Hot Pot,불낙전골
93,Braised Short Ribs,갈비찜
94,Whole Chicken Soup,닭백숙
95,Braised Spicy Chicken,닭볶음탕
96,Steamed Eggs,계란찜
97,Braised Pork with Aged Kimchi,묵은지찜
98,Napa Cabbage Wraps with Pork,보쌈
99,Boiled Beef Slices & Boiled Pork Slices,"수육, 편육"
100,Braised Pigs' Feet,족발
101,Korean Sausage,순대
102,Braised Spicy Monkfish,아구찜
103,Braised Spicy Seafood,해물찜
104,Braised Cutlassfish,갈치조림
105,Braised Mackerel,고등어조림
106,Braised Black Cod,은대구조림
107,Soy Sauce Braised Beef,장조림
108,Soy Sauce Braised Potatoes,감자조림
109,Braised Tofu,두부조림
110,Royal Stir-fried Rice Cake,궁중떡볶이
111,Stir-fried Octopus,낙지볶음
112,Stir-fried Squid,오징어볶음
113,Stir-fried Pork,제육볶음
114,Tofu with Stir-fried Kimchi,두부김치
115,Grilled Mackerel,고등어구이
116,Grilled Beef Tripe and Grilled Pork Tripe,곱창
117,Marinated Grilled Beef Slices,너비아니
118,Grilled Short Rib Patties,떡갈비
119,Hot Pot Bulgogi,뚝배기불고기
120,Spicy Stir-fried Chicken,닭갈비
121,Grilled Spareribs,돼지갈비
122,"Marinated Grilled Beef Ribs, Marinated Grilled Pork Ribs",양념갈비
123,Grilled Beef Ribs,소갈비
124,Sliced Beef with Vegetables,소고기편채
125,Grilled Duck,오리구이
126,Grilled Eel,장어구이
127,Grilled Fish,생선구이
128,Grilled Shrimp,새우구이
129,Grilled Deodeok,더덕구이
130,Grilled Dried Pollack,황태구이
131,Toasted Laverk,김
132,Vegetable and Seaweed Chips,부각
133,Assorted Savory Pancakes,모듬전
134,Potato Pancakes,감자전
135,Kimchi Pancakes,김치전
136,Mung Bean Pancake,"빈대떡, 녹두전"
137,Pine Mushroom Skewers,송이산적
138,Green Onion Pancake,파전
139,Seafood and Green Onion Pancake,해물파전
140,Beef and Vegetable Skewers,화양적
141,Buckwheat Crepe,메밀전병
142,Rolled Omelet,계란말이
143,Stir-fried Glass Noodles and Vegetables,잡채
144,Sushi,"초밥, 스시"
145,Ramen,라멘
146,Noodles with soybean paste,짜장면
147,Jjamppong,짬뽕
148,Tangsuyuk,탕수육
149,Spicy garlic fried chicken,깐풍기
150,Corn cheese,콘치즈
151,"Sweet, sour, & spicy Korean fried chicken",양념치킨
154,Deep-fried Chicken with Sweet and Spicy Sauce,닭강정
155,Braised Chicken in Soy sauce,찜닭
156,Mapo tofu,마파두부
157,Seafood mixed rice,잡탕밥
158,Bun Cha,분짜
159,Vietnamese pancake,반세오
160,Hanoi beef soup,쌀국수
161,Stir-fried webfoot octopus,"쭈꾸미볶음, 직화쭈꾸미"
162,Beef Tartare,육회
163,Instant noodle,라면
164,Curry,"카레, 커리"
165,Ra-bokki ,라볶이
166,Chicken Feet ,닭발
167,A pig shell ,"껍데기, 돼지껍데기"
168,Spicy Sea Snails,골뱅이무침
169,Shabu-shabu,샤부샤부
170,Pork butt,목살
171,Skirt steak,갈매기살
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,